"article","link","contributors","about","year","cited","addonlinks","year"
"Multi-objective evolutionary approach for the performance improvement of learners using ensembling feature selection and discretization technique on medical data","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:YFjsv_pBGBYC","D Singh, DS Sisodia, P Singh","Current medical imaging 16 (4), 355-370",", 2020","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8828213916273581086","2020"
"Automated sms classification and spam analysis using topic modeling","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:NaGl4SEjCO4C","DS Sisodia, S Mahapatra, A Sharma","2nd International Conference on Data, Engineering and Applications (IDEA), 1-6",", 2020","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8055981953799873804","2020"
"A hybrid data‐level sampling approach in learning from skewed user‐click data for click fraud detection in online advertising","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:NhqRSupF_l8C","D Sisodia, DS Sisodia","Expert Systems 40 (2), e13147",", 2023","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3274364336180658518","2023"
"Handling dynamic user preferences using integrated point and distribution estimations in collaborative filtering","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:4OULZ7Gr8RgC","A Pujahari, DS Sisodia","IEEE Transactions on Systems, Man, and Cybernetics: Systems 52 (10), 6639-6651",", 2022","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1521499914392013345","2022"
"Feature distillation and accumulated selection for automated fraudulent publisher classification from user click data of online advertising","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:fPk4N6BV_jEC","D Sisodia, DS Sisodia","Data Technologies and Applications",", 2022","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14958880179372738265","2022"
"Performance evaluation of learners for analyzing the hotel customer sentiments based on text reviews","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:4JMBOYKVnBMC","DS Sisodia, S Nikhil, GS Kiran, H Shrawgi","Performance Management of Integrated Systems and its applications in …",", 2020","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1092985900876280164","2020"
"Compositional model based on factorial evolution for realizing multi-task learning in bacterial virulent protein prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:TFP_iSt0sucC","D Singh, P Singh, DS Sisodia","Artificial Intelligence in Medicine 101, 101757",", 2019","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16545088533664970322","2019"
"Sleep order detection model using support vector machines and features extracted from brain ECG signals","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:Zph67rFs4hoC","DS Sisodia, K Sachdeva, A Anuragi","2017 international conference on inventive computing and informatics (ICICI …",", 2017","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9141157442752290178","2017"
"An optimized recommendation framework exploiting textual review based opinion mining for generating pleasantly surprising, novel yet relevant recommendations","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:bFI3QPDXJZMC","R Shrivastava, DS Sisodia, NK Nagwani, UR BP","Pattern Recognition Letters 159, 91-99",", 2022","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6532849997412521273","2022"
"Long short term memory based functional characterization model for unknown protein sequences using ensemble of shallow and deep features","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:zA6iFVUQeVQC","S Agrawal, DS Sisodia, NK Nagwani","Neural Computing and Applications, 1-11",", 2022","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2999180795147438126","2022"
"Multiobjective evolutionary-based multi-kernel learner for realizing transfer learning in the prediction of HIV-1 protease cleavage sites","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CExet0QAAAAJ&cstart=20&pagesize=80&citation_for_view=CExet0QAAAAJ:bEWYMUwI8FkC","D Singh, DS Sisodia, P Singh","Soft Computing, 1-25",", 2019","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9334338227392406764","2019"
