"article","link","contributors","about","year","cited","addonlinks","year"
"Multi-Objective Evolutionary approach for the Performance Improvement of Learners using Ensembling Feature selection and Discretization Technique on Medical data","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:foquWX3nUaYC","D Singh, DS Sisodia, P Singh","Current Medical Imaging 16 (4), 355-370",", 2020","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8828213916273581086","2020"
"Class Imbalance Deep Learning for Bankruptcy Prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:q3CdL3IzO_QC","S Vellamcheti, P Singh","2020 First International Conference on Power, Control and Computing …",", 2020","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9983833818594775471","2020"
"Demonetization: Sentiment and Retweet Analysis","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:t6usbXjVLHcC","P Singh, A Dave, K Dar","2017 International Conference on Inventive Computing and Informatics (ICICI …",", 2017","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2029096219567066331","2017"
"Software Fault Prediction Model for Embedded Systems: A Novel finding","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:dshw04ExmUIC","P Singh, S Verma","Int. J. Comput. Sci. Inf. Technol 5 (2), 2348-2354",", 2014","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14684102458241424167","2014"
"Defect count prediction via metric-based convolutional neural network","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:rmuvC79q63oC","M Nevendra, P Singh","Neural Computing and Applications 33 (22), 15319-15344",", 2021","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9719259716205806553","2021"
"Enhancing Aggression Detection using GPT-2 based Data Balancing Technique","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:4fGpz3EwCPoC","A Shrivastava, R Pupale, P Singh","2021 5th International Conference on Intelligent Computing and Control …",", 2021","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=628368038989228210","2021"
"State-of-the-Art Review of Deep Learning for Medical Image Analysis","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:5qfkUJPXOUwC","S Garg, P Singh","2020 3rd International Conference on Intelligent Sustainable Systems (ICISS …",", 2020","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1926886688403686744","2020"
"Compositional model based on factorial evolution for realizing multi-task learning in bacterial virulent protein prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:VaXvl8Fpj5cC","D Singh, P Singh, DS Sisodia","Artificial Intelligence in Medicine 101, 101757",", 2019","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16545088533664970322","2019"
"Learning from Software defect datasets","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:WZBGuue-350C","P Singh","2019 5th International Conference on Signal Processing, Computing and …",", 2019","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3552386229208268020","2019"
"An Empirical Study on Multi-Objective Swarm Algorithm for Standard Multi-Objective Benchmark Problems","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:eq2jaN3J8jMC","AK Shukla, P Singh, M Vardhan","Proceedings of 3rd International Conference on Internet of Things and …",", 2018","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10643169527147823865","2018"
"Multistage Preprocessing Approach for Software Defect Data Prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:p__nRnzSRKYC","M Nevendra, P Singh","Annual Convention of the Computer Society of India, 505-515",", 2018","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9529388359832292383","2018"
"Intelligent approaches for prognosticating post-operative life expectancy in the lung cancer patients","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:Y5dfb0dijaUC","P Singh, N Singh","2017 International Conference on Inventive Computing and Informatics (ICICI …",", 2017","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10640714474435257682","2017"
"A study about ecological imbalance in Surguja (India) coalfield area due to mining","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:IUKN3-7HHlwC","PK Singh, A Imam, R Singh, D Singh, S Sharma","International Research Journal of Environment Sciences 2 (4), 10-14",", 2013","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7588155190908832622","2013"
"Exploring the effectiveness of word embedding based deep learning model for improving email classification","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:a9-T7VOCCH8C","DS Asudani, NK Nagwani, P Singh","Data Technologies and Applications",", 2022","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1498978121967721012","2022"
"Forensic Analysis of Fitness Applications on Android","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:LO7wyVUgiFcC","R Sinha, V Sihag, G Choudhary, M Vardhan, P Singh","International Symposium on Mobile Internet Security, 222-235",", 2021","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13785084736114043514","2021"
"Multiobjective evolutionary-based multi-kernel learner for realizing transfer learning in the prediction of HIV-1 protease cleavage sites","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:M7yex6snE4oC","D Singh, DS Sisodia, P Singh","Soft Computing 24 (13), 9727-9751",", 2020","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9334338227392406764","2020"
"ACO based comprehensive model for software fault prediction","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Pg36s_QAAAAJ&cstart=20&pagesize=80&citation_for_view=Pg36s_QAAAAJ:Dip1O2bNi0gC","P Singh, S Verma","International Journal of Knowledge-based and Intelligent Engineering Systems …",", 2020","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3083733906852873189","2020"
